PAGO_ID|PAGO_FECHA|PAGO_MONTO|PAGO_ESTADO|CLIENTE_ID|CLIENTE_NOMBRE|CLIENTE_EMAIL|CLIENTE_TELEFONO|CLIENTE_DIRECCION|FACTURA_ID|FACTURA_MONTO_TOTAL|FACTURA_FECHA_EMISION|FACTURA_FECHA_VENCIMIENTO|FACTURA_DESCRIPCION|FACTURA_ESTADO|METODO_PAGO_ID|METODO_PAGO_NOMBRE|METODO_PAGO_DETALLES|METODO_PAGO_COMISION
21|2024-01-21|250.00|Procesado|21|Jorge García|jorge.garcia@email.com|5516549873|Calle 951|121|250.00|2024-04-01|2024-05-01|Servicio de Redacción|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
22|2024-01-22|850.50|Procesado|22|Laura Rodríguez|laura.rodriguez@email.com|5513456789|Calle 159|122|850.50|2024-04-05|2024-05-05|Servicio de Traducción|Emitida|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
23|2024-01-23|950.00|Pendiente|23|Pablo Flores|pablo.flores@email.com|5516785432|Calle 357|123|950.00|2024-04-10|2024-05-10|Servicio de Edición de Video|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
24|2024-01-24|400.00|Procesado|24|Carmen Ortiz|carmen.ortiz@email.com|5517654321|Calle 123|124|400.00|2024-04-15|2024-05-15|Servicio de Fotografía|Pagada|3|PayPal|Pago a través de la plataforma PayPal|3.00
25|2024-01-25|100.00|Rechazado|25|Rafael Gómez|rafael.gomez@email.com|5518765432|Calle 951|125|100.00|2024-04-20|2024-05-20|Servicio de Revisión de Textos|Cancelada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
26|2024-01-26|500.75|Procesado|26|Paula Rivera|paula.rivera@email.com|5513459876|Calle 456|126|500.75|2024-04-25|2024-05-25|Servicio de Música|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
27|2024-01-27|750.00|Pendiente|27|José Luna|jose.luna@email.com|5519876543|Calle 789|127|750.00|2024-04-30|2024-05-30|Servicio de Producción|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
28|2024-01-28|600.00|Procesado|28|Clara Mendoza|clara.mendoza@email.com|5516541234|Calle 258|128|600.00|2024-05-01|2024-06-01|Servicio de Locución|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
29|2024-01-29|800.00|Pendiente|29|Luis Medina|luis.medina@email.com|5514321987|Calle 654|129|800.00|2024-05-05|2024-06-05|Servicio de Community Management|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
30|2024-01-30|950.25|Procesado|30|Teresa López|teresa.lopez@email.com|5517654321|Calle 321|130|950.25|2024-05-10|2024-06-10|Servicio de Diseño UX/UI|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
31|2024-01-31|700.50|Procesado|31|Martín Gómez|martin.gomez@email.com|5513214567|Calle 852|131|700.50|2024-05-15|2024-06-15|Servicio de SEO|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
32|2024-02-01|400.00|Pendiente|32|Elena Vargas|elena.vargas@email.com|5511236789|Calle 753|132|400.00|2024-05-20|2024-06-20|Servicio de Marketing Digital|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
33|2024-02-02|850.75|Procesado|33|Juan Salazar|juan.salazar@email.com|5512345678|Calle 159|133|850.75|2024-05-25|2024-06-25|Servicio de Fotografía|Pagada|3|PayPal|Pago a través de la plataforma PayPal|3.00
34|2024-02-03|1500.00|Rechazado|34|Patricia Morales|patricia.morales@email.com|5519876543|Calle 654|134|1500.00|2024-06-01|2024-07-01|Servicio de Diseño Gráfico|Cancelada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
35|2024-02-04|620.50|Procesado|35|Miguel Herrera|miguel.herrera@email.com|5514567890|Calle 321|135|620.50|2024-06-05|2024-07-05|Servicio de Video|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
36|2024-02-05|910.25|Pendiente|36|Claudia Ruiz|claudia.ruiz@email.com|5516789876|Calle 987|136|910.25|2024-06-10|2024-07-10|Servicio de Publicidad|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
37|2024-02-06|350.00|Procesado|37|Raúl Torres|raul.torres@email.com|5511234567|Calle 654|137|350.00|2024-06-15|2024-07-15|Servicio de Transcripción|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
38|2024-02-07|800.00|Rechazado|38|Mariana Paredes|mariana.paredes@email.com|5517654321|Calle 753|138|800.00|2024-06-20|2024-07-20|Servicio de Streaming|Cancelada|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
39|2024-02-08|450.75|Pendiente|39|Fernando López|fernando.lopez@email.com|5518765432|Calle 852|139|450.75|2024-06-25|2024-07-25|Servicio de Traducción|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
40|2024-02-09|600.50|Procesado|40|Daniela Sánchez|daniela.sanchez@email.com|5515432109|Calle 357|140|600.50|2024-07-01|2024-08-01|Servicio de Desarrollo Web|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
41|2024-02-10|750.00|Pendiente|41|Pedro Rodríguez|pedro.rodriguez@email.com|5513214567|Calle 159|141|750.00|2024-07-05|2024-08-05|Servicio de Soporte Técnico|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
42|2024-02-11|980.00|Procesado|42|María Fernández|maria.fernandez@email.com|5517659876|Calle 963|142|980.00|2024-07-10|2024-08-10|Servicio de Edición de Audio|Pagada|3|PayPal|Pago a través de la plataforma PayPal|3.00
43|2024-02-12|1000.00|Pendiente|43|Luis Gómez|luis.gomez@email.com|5511239876|Calle 741|143|1000.00|2024-07-15|2024-08-15|Servicio de Grabación|Emitida|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
44|2024-02-13|675.50|Procesado|44|Elena Vega|elena.vega@email.com|5519876543|Calle 258|144|675.50|2024-07-20|2024-08-20|Servicio de Desarrollo de Software|Pagada|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
45|2024-02-14|850.25|Pendiente|45|Javier Ruiz|javier.ruiz@email.com|5516543210|Calle 123|145|850.25|2024-07-25|2024-08-25|Servicio de Locución|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
46|2024-02-15|700.00|Procesado|46|Claudia Ortega|claudia.ortega@email.com|5513456789|Calle 951|146|700.00|2024-08-01|2024-09-01|Servicio de Asesoramiento|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
47|2024-02-16|400.00|Pendiente|47|Francisco Torres|francisco.torres@email.com|5516549873|Calle 753|147|400.00|2024-08-05|2024-09-05|Servicio de Social Media|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
48|2024-02-17|950.75|Procesado|48|Alicia Rojas|alicia.rojas@email.com|5515432109|Calle 357|148|950.75|2024-08-10|2024-09-10|Servicio de Diseño UX|Pagada|3|PayPal|Pago a través de la plataforma PayPal|3.00
49|2024-02-18|1500.00|Rechazado|49|Óscar Rivera|oscar.rivera@email.com|5518765432|Calle 258|149|1500.00|2024-08-15|2024-09-15|Servicio de Video Marketing|Cancelada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
50|2024-02-19|620.50|Procesado|50|Patricia Morales|patricia.morales@email.com|5513219876|Calle 159|150|620.50|2024-08-20|2024-09-20|Servicio de Desarrollo|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
51|2024-02-20|910.25|Pendiente|51|Rafael Núñez|rafael.nunez@email.com|5514561234|Calle 753|151|910.25|2024-08-25|2024-09-25|Servicio de Fotografía|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
52|2024-02-21|350.00|Procesado|52|Gabriela Flores|gabriela.flores@email.com|5516785432|Calle 654|152|350.00|2024-09-01|2024-10-01|Servicio de Diseño Gráfico|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
53|2024-02-22|800.00|Rechazado|53|Miguel Vargas|miguel.vargas@email.com|5511234567|Calle 987|153|800.00|2024-09-05|2024-10-05|Servicio de Publicidad|Cancelada|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
54|2024-02-23|450.75|Pendiente|54|Daniel Ruiz|daniel.ruiz@email.com|5516543210|Calle 951|154|450.75|2024-09-10|2024-10-10|Servicio de Traducción|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
55|2024-02-24|600.50|Procesado|55|Andrea Rojas|andrea.rojas@email.com|5515436789|Calle 357|155|600.50|2024-09-15|2024-10-15|Servicio de Edición de Video|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
56|2024-02-25|750.00|Pendiente|56|Carlos Ortega|carlos.ortega@email.com|5518765432|Calle 159|156|750.00|2024-09-20|2024-10-20|Servicio de Community Management|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
57|2024-02-26|980.00|Procesado|57|Mariana Pérez|mariana.perez@email.com|5516549873|Calle 852|157|980.00|2024-09-25|2024-10-25|Servicio de SEO|Pagada|3|PayPal|Pago a través de la plataforma PayPal|3.00
58|2024-02-27|1000.00|Pendiente|58|Ana Salinas|ana.salinas@email.com|5513214567|Calle 753|158|1000.00|2024-10-01|2024-11-01|Servicio de Marketing Digital|Emitida|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
59|2024-02-28|675.50|Procesado|59|Roberto Díaz|roberto.diaz@email.com|5514567890|Calle 456|159|675.50|2024-10-05|2024-11-05|Servicio de Soporte Técnico|Pagada|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
60|2024-02-29|850.25|Pendiente|60|Sandra Gómez|sandra.gomez@email.com|5517659876|Calle 258|160|850.25|2024-10-10|2024-11-10|Servicio de Consultoría|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
61|2024-03-01|750.00|Procesado|61|Luis Castillo|luis.castillo@email.com|5511234567|Calle 654|161|750.00|2024-10-15|2024-11-15|Servicio de Edición de Imágenes|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
62|2024-03-02|400.50|Pendiente|62|Paula Mendoza|paula.mendoza@email.com|5513456789|Calle 159|162|400.50|2024-10-20|2024-11-20|Servicio de Edición de Texto|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
63|2024-03-03|950.00|Procesado|63|Rafael López|rafael.lopez@email.com|5519876543|Calle 852|163|950.00|2024-10-25|2024-11-25|Servicio de Traducción Técnica|Pagada|3|PayPal|Pago a través de la plataforma PayPal|3.00
64|2024-03-04|1500.00|Rechazado|64|Isabel García|isabel.garcia@email.com|5516549876|Calle 321|164|1500.00|2024-11-01|2024-12-01|Servicio de Transcripción|Cancelada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
65|2024-03-05|620.50|Procesado|65|Carlos Gómez|carlos.gomez@email.com|5515432109|Calle 753|165|620.50|2024-11-05|2024-12-05|Servicio de Publicidad Web|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
66|2024-03-06|910.25|Pendiente|66|Laura Fernández|laura.fernandez@email.com|5514321987|Calle 987|166|910.25|2024-11-10|2024-12-10|Servicio de Edición de Videos|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
67|2024-03-07|350.00|Procesado|67|Ricardo Ortiz|ricardo.ortiz@email.com|5518765432|Calle 951|167|350.00|2024-11-15|2024-12-15|Servicio de Grabación de Audio|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
68|2024-03-08|800.00|Rechazado|68|Gabriela Torres|gabriela.torres@email.com|5517654321|Calle 753|168|800.00|2024-11-20|2024-12-20|Servicio de Marketing Estratégico|Cancelada|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
69|2024-03-09|450.75|Pendiente|69|Raúl Morales|raul.morales@email.com|5511239876|Calle 654|169|450.75|2024-11-25|2024-12-25|Servicio de Fotografía Comercial|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
70|2024-03-10|600.50|Procesado|70|Patricia Vega|patricia.vega@email.com|5516543210|Calle 357|170|600.50|2024-12-01|2025-01-01|Servicio de SEO Técnico|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
71|2024-03-11|750.00|Pendiente|71|Mario García|mario.garcia@email.com|5515436789|Calle 159|171|750.00|2024-12-05|2025-01-05|Servicio de Optimización de Imágenes|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
72|2024-03-12|980.00|Procesado|72|Isabel Rojas|isabel.rojas@email.com|5519876543|Calle 258|172|980.00|2024-12-10|2025-01-10|Servicio de Consultoría Técnica|Pagada|3|PayPal|Pago a través de la plataforma PayPal|3.00
73|2024-03-13|1000.00|Pendiente|73|Ana Ruiz|ana.ruiz@email.com|5517659876|Calle 852|173|1000.00|2024-12-15|2025-01-15|Servicio de Community Management|Emitida|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
74|2024-03-14|675.50|Procesado|74|Pedro Núñez|pedro.nunez@email.com|5515432109|Calle 951|174|675.50|2024-12-20|2025-01-20|Servicio de Desarrollo Técnico|Pagada|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
75|2024-03-15|850.25|Pendiente|75|Teresa Castillo|teresa.castillo@email.com|5513456789|Calle 753|175|850.25|2024-12-25|2025-01-25|Servicio de Creación de Contenido|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
76|2024-03-16|700.00|Procesado|76|Javier Torres|javier.torres@email.com|5511234567|Calle 654|176|700.00|2025-01-01|2025-02-01|Servicio de Streaming Profesional|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
77|2024-03-17|400.00|Pendiente|77|Elena Vargas|elena.vargas@email.com|5518765432|Calle 321|177|400.00|2025-01-05|2025-02-05|Servicio de Análisis de Datos|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
78|2024-03-18|950.75|Procesado|78|Martín Salinas|martin.salinas@email.com|5516785432|Calle 987|178|950.75|2025-01-10|2025-02-10|Servicio de Diseño UX|Pagada|3|PayPal|Pago a través de la plataforma PayPal|3.00
79|2024-03-19|1500.00|Rechazado|79|Paula Hernández|paula.hernandez@email.com|5519876543|Calle 654|179|1500.00|2025-01-15|2025-02-15|Servicio de Video Marketing|Cancelada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
80|2024-03-20|620.50|Procesado|80|Gabriela Castillo|gabriela.castillo@email.com|5517654321|Calle 357|180|620.50|2025-01-20|2025-02-20|Servicio de Publicidad Digital|Emitida|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
81|2024-03-21|910.25|Pendiente|81|Rafael Vega|rafael.vega@email.com|5516543210|Calle 159|181|910.25|2025-01-25|2025-02-25|Servicio de Diseño Técnico|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
82|2024-03-22|350.00|Procesado|82|Laura Pérez|laura.perez@email.com|5511234567|Calle 753|182|350.00|2025-02-01|2025-03-01|Servicio de Desarrollo de Apps|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
83|2024-03-23|800.00|Rechazado|83|Óscar Ríos|oscar.rios@email.com|5519876543|Calle 987|183|800.00|2025-02-05|2025-03-05|Servicio de Edición de Video|Cancelada|2|Transferencia Bancaria|Pago directo a cuenta bancaria|0.00
84|2024-03-24|450.75|Pendiente|84|Andrea Flores|andrea.flores@email.com|5517654321|Calle 951|184|450.75|2025-02-10|2025-03-10|Servicio de Fotografía Comercial|Emitida|3|PayPal|Pago a través de la plataforma PayPal|3.00
85|2024-03-25|600.50|Procesado|85|Claudia Herrera|claudia.herrera@email.com|5515432109|Calle 357|185|600.50|2025-02-15|2025-03-15|Servicio de Traducción Técnica|Pagada|1|Tarjeta de Crédito|Pago con tarjeta VISA/Mastercard|2.50
